XYZ (16012 points)
105364.717 5642252.640 10.424
107658.662 5647989.060 54.562
103462.310 5653224.910 72.655
100472.725 5658093.410 80.225
104525.483 5660066.810 69.582
110071.921 5661528.790 77.243
112192.692 5668399.390 99.345
118251.646 5674416.820 147.104
123421.121 5683009.020 179.029
118967.024 5690473.760 166.937
128569.893 5692203.270 94.572
133564.926 5699975.920 70.024
142841.143 5701265.710 119.823
146859.383 5707872.310 90.785
150963.199 5713956.250 43.757
415770.375 4951949.380 8.099
407707.332 4953791.710 63.424
408073.386 4963281.720 66.094
409273.904 4971822.080 79.026
410958.196 4979509.590 82.369
413249.665 4986649.980 72.755
408066.557 4990689.760 113.724
408347.824 4997046.040 118.004
409533.956 5004217.590 113.724
403511.032 5008068.810 166.578
404195.814 5015800.010 161.914
404827.990 5023403.040 156.041
405387.840 5030967.070 141.896
406164.308 5038223.070 131.353
408249.006 5044507.530 113.988
405367.667 5050943.530 123.537
399135.480 5052226.400 152.800
402035.806 5057780.310 130.315
400767.649 5064034.340 136.416
400405.989 5070747.760 138.117
399927.286 5077319.240 136.757
397501.763 5083318.270 136.499
396280.875 5089545.930 138.734
395332.356 5095243.750 127.328
394118.246 5100680.470 123.267
394415.119 5105281.220 116.309
392527.202 5109505.030 120.248
391723.899 5114755.810 122.927
392041.131 5120007.870 143.870
390771.828 5125221.350 363.652
389874.011 5129855.520 151.325
390187.985 5133989.370 120.704
388348.117 5137721.450 120.193
387354.516 5142510.340 126.784
387082.443 5147672.300 138.402
387484.867 5153044.500 141.630
387328.597 5158270.470 142.249
387306.012 5163293.710 114.529
387366.476 5167428.320 105.162
385214.274 5171247.530 109.249
383854.102 5176359.280 107.238
382897.122 5182103.970 102.953
382630.057 5188252.930 98.166
381955.052 5194277.410 95.544
382216.528 5199618.760 89.180
382965.739 5204391.180 81.911
380975.364 5208979.850 81.492
379432.648 5214809.070 81.658
378578.506 5221854.900 82.436
375380.240 5228115.430 92.020
376564.040 5234636.250 88.965
379041.412 5240912.720 78.626
377584.270 5247869.370 80.969
378204.632 5255336.880 68.125
375347.173 5262829.680 72.348
373299.144 5272567.840 69.491
367939.583 5281168.510 76.981
363035.339 5289398.130 88.144
358653.971 5297847.870 97.922
354995.922 5306969.680 102.765
352236.513 5316324.540 106.545
349776.333 5325411.850 143.744
348607.547 5334286.780 259.267
349626.874 5342264.520 248.468
344436.587 5348122.110 168.707
335636.950 5349301.160 171.171
335050.201 5357749.500 170.649
330767.919 5364792.320 160.299
322791.241 5371163.130 148.796
316940.621 5378536.480 108.493
318003.846 5386535.060 110.852
310201.274 5393318.530 134.498
302711.246 5398952.200 129.331
307498.757 5404109.270 132.875
302121.824 5409983.370 63.412
297424.757 5414160.130 55.770
293693.159 5419418.210 59.254
296870.523 5426238.640 60.079
293146.917 5429735.770 47.426
285694.011 5427652.270 53.449
282881.956 5431667.910 54.022
284874.877 5437533.950 79.052
280331.658 5440983.310 72.789
275523.858 5444787.050 98.140
270795.177 5448969.220 57.778
266722.326 5453706.290 46.195
262517.879 5458434.740 35.909
258889.758 5462894.720 34.501
255584.625 5467586.510 52.127
251134.825 5470719.130 36.715
247182.221 5474034.450 24.423
241557.285 5473893.720 36.374
241669.428 5480323.750 22.777
241803.468 5486317.130 20.966
236218.924 5489307.100 69.154
231979.001 5493096.850 41.461
234706.251 5500710.570 20.261
229162.437 5502912.960 25.902
223618.622 5505115.360 31.145
220278.522 5510083.050 38.064
216938.421 5515050.750 47.739
214261.401 5520424.590 32.243
211584.381 5525798.430 20.518
206806.405 5529410.040 29.154
202028.429 5533021.660 33.511
198286.566 5537717.770 28.079
180589.329 5553762.960 26.031
154414.580 5571871.750 32.707
153891.813 5577293.670 36.653
153369.046 5582715.600 26.731
150084.404 5587494.920 21.155
146799.762 5592274.250 46.868
144901.082 5597047.540 68.080
143002.403 5601820.830 17.630
137915.046 5604912.000 43.228
132827.689 5608003.170 37.248
129515.042 5613046.640 34.755
126202.395 5618090.110 27.088
123393.789 5623429.600 8.312
120585.182 5628769.090 18.253
119685.501 5634437.500 13.908
118785.820 5640105.900 15.801
112988.030 5643502.050 54.026
114530.585 5649318.200 58.445
109612.430 5654283.880 70.644
115564.039 5655487.210 66.750
116100.817 5661686.840 86.790
120538.776 5665640.190 100.721
127505.166 5667879.670 129.880
127789.009 5675602.070 169.391
131752.665 5681068.210 154.413
132361.209 5686973.500 98.918
138960.208 5693065.690 43.571
147777.964 5696606.600 86.599
153427.209 5702161.310 119.215
155953.260 5708428.400 50.111
415313.167 4960228.830 11.499
417094.932 4968107.210 6.122
418924.669 4975722.830 5.803
420030.107 4983242.620 6.280
421079.039 4990538.510 12.115
415102.688 4993931.450 67.198
416049.848 5000858.120 65.249
416938.336 5007786.400 61.802
410548.509 5011614.660 108.356
411046.702 5018875.950 104.128
411464.911 5026026.530 104.818
412048.242 5032923.540 96.877
413221.035 5039367.460 93.213
415557.083 5045491.450 81.679
411402.377 5049456.530 96.107
411511.244 5054676.670 92.959
407411.332 5057254.160 106.986
406553.429 5062679.940 110.563
406046.454 5068475.050 118.769
406037.572 5074408.370 113.111
406836.385 5079796.040 108.507
403182.813 5083334.850 117.837
400888.232 5087787.830 123.253
401304.284 5093202.470 118.285
399717.109 5098465.530 111.278
398768.201 5103172.550 109.159
398195.349 5108112.410 108.143
396682.151 5112570.710 112.355
396398.211 5117121.120 116.004
397451.462 5121254.020 117.355
394834.316 5123925.890 176.748
394757.324 5128118.880 136.243
393985.146 5132363.920 112.591
393765.335 5136856.830 100.044
392104.323 5140919.910 103.599
391573.480 5145218.930 103.578
391534.754 5149485.270 102.789
392378.874 5153018.240 98.320
391566.702 5156611.730 103.717
391616.758 5161104.830 94.229
392019.662 5165940.080 87.943
390576.864 5170701.930 89.455
389164.288 5175070.840 90.479
388199.727 5179756.950 89.706
387715.859 5184476.420 88.104
388330.654 5188383.120 84.763
387131.901 5192377.620 85.104
387616.654 5197514.860 77.570
387000.168 5202417.670 73.868
386345.111 5207574.570 70.249
385511.121 5212686.160 69.325
385074.122 5218446.910 68.787
386062.645 5224552.260 63.016
381797.717 5229205.060 72.646
383684.567 5236187.720 64.405
386166.574 5243767.400 52.041
385341.897 5251416.500 45.448
384006.786 5259585.530 42.183
382156.965 5267797.050 44.142
382295.511 5276305.780 38.977
376898.202 5282825.510 47.810
371888.380 5290229.820 59.163
367281.422 5297823.300 68.166
363230.741 5305519.400 74.225
360484.849 5313900.710 75.146
358605.913 5322186.740 69.735
357446.464 5330399.490 79.493
357503.404 5338261.020 94.507
357730.447 5345075.440 113.733
352846.226 5349971.340 217.406
347891.252 5355944.380 186.319
341289.075 5354994.940 145.085
341762.485 5363299.770 136.292
339651.557 5371510.250 151.611
331488.906 5373572.430 146.565
326057.921 5379988.550 128.932
328554.784 5387499.270 114.900
321761.777 5394264.430 83.735
315760.146 5400328.980 126.842
315186.510 5406995.900 110.341
313134.514 5412046.980 80.960
307842.843 5412212.120 58.387
304823.359 5417448.710 51.978
301575.282 5422273.070 90.816
306407.238 5429927.500 48.797
302952.297 5434845.000 54.527
297544.469 5437490.430 49.571
289735.395 5434071.750 45.635
292136.640 5440135.860 40.869
287673.373 5444108.210 105.500
283210.106 5448080.560 36.922
278808.458 5452206.780 40.229
274406.809 5456333.000 41.403
270293.810 5460746.790 53.045
266180.811 5465160.580 26.587
262465.579 5469910.590 20.233
258750.346 5474660.590 26.702
253801.325 5477342.940 27.859
248852.304 5480025.290 46.136
245260.866 5480174.520 32.304
241937.507 5492310.510 19.726
238321.879 5496510.540 46.150
119952.900 5645366.240 41.031
124730.000 5641170.000 14.183
121119.979 5650626.570 51.451
121274.396 5657524.930 60.937
126297.371 5659933.920 73.474
131155.850 5660447.470 80.873
134552.819 5662816.190 108.089
136223.682 5666939.470 149.494
133497.297 5671754.100 159.454
137013.181 5677209.130 145.116
138372.097 5684287.040 78.300
143193.750 5687239.280 46.894
148017.762 5691147.490 43.844
155553.630 5694249.300 103.676
161281.700 5699283.180 84.855
163054.565 5707710.960 116.275
159982.165 5716726.130 108.776
422448.784 4997556.720 7.508
423642.196 5004387.080 7.570
424138.430 5011091.250 8.029
417332.125 5014667.220 61.038
417478.719 5021496.400 67.571
417814.775 5028082.920 58.083
418407.362 5034315.660 59.094
419441.376 5040070.980 50.860
421181.900 5044813.220 42.371
420938.194 5049667.890 50.565
416365.939 5051981.900 75.923
416534.576 5057651.460 73.449
411790.591 5060477.380 93.101
411351.634 5066010.150 93.101
411197.060 5071564.180 92.631
411950.248 5077171.450 90.414
412053.557 5082486.510 86.602
408176.389 5085134.370 94.074
405200.634 5088954.090 102.802
406874.458 5093530.200 94.405
404737.242 5097563.140 95.868
403426.806 5101817.940 94.469
401974.069 5105426.380 96.257
402853.691 5108322.930 92.164
401243.923 5111336.960 98.090
400214.467 5115035.360 100.917
400684.212 5119016.550 97.925
401547.291 5123299.030 83.777
398474.426 5125346.870 117.746
398804.834 5128529.940 96.275
397656.439 5131449.310 94.668
397081.094 5134730.910 89.710
398723.276 5137925.760 77.987
396024.432 5140124.920 86.784
395588.926 5143587.650 86.386
395417.263 5147322.580 85.619
395641.386 5151008.660 84.496
395625.338 5154838.700 82.575
395412.143 5158674.380 82.392
395846.029 5162707.030 78.584
396281.799 5166678.430 75.812
394875.364 5170087.710 78.234
393905.065 5174055.870 79.703
392908.593 5178142.380 79.579
392330.386 5182328.010 78.089
392325.870 5186402.300 75.121
391803.205 5190440.390 72.770
391454.558 5194561.320 70.349
392990.470 5198424.150 60.796
391433.173 5201957.200 61.901
390192.425 5205748.140 62.611
390410.414 5210220.670 58.910
390273.117 5215394.790 57.553
390804.738 5220993.160 54.533
392171.778 5227090.830 47.701
388041.938 5231120.430 54.302
389448.148 5237395.290 47.930
394511.504 5240807.370 36.680
393232.296 5247433.490 27.433
391812.217 5255183.580 22.724
390655.797 5263062.860 23.747
389670.411 5270689.970 25.085
389500.446 5277934.190 22.640
385693.349 5285498.890 24.656
380172.345 5292392.860 28.493
375228.665 5299165.840 33.112
371021.808 5306229.100 35.719
367651.893 5312297.790 38.311
366970.531 5319443.710 37.331
365826.422 5327151.800 37.331
365208.778 5335157.450 42.346
365701.323 5343726.720 37.024
361478.438 5351280.730 85.755
355421.059 5356846.760 216.495
350015.912 5362299.280 214.112
349024.300 5369707.630 130.134
345983.641 5377966.060 111.226
335000.000 5381200.000 116.677
337529.359 5388360.750 106.175
333896.112 5391767.290 101.353
330550.827 5395361.880 81.064
329163.805 5401181.610 83.093
322711.177 5401172.670 104.090
320827.506 5406573.370 98.471
319663.255 5412859.300 70.961
316892.606 5418383.670 54.395
311226.232 5418484.880 74.291
309862.178 5425009.990 73.965
125960.000 5646800.000 36.134
132000.000 5642910.000 12.328
126571.185 5652399.410 57.369
132022.392 5654172.250 52.892
136449.796 5656488.480 50.939
138277.578 5659618.110 67.309
140512.373 5662412.870 101.907
142346.107 5666761.570 147.359
139312.196 5671415.240 153.400
142558.712 5675130.440 135.888
144157.146 5680587.520 80.482
148073.442 5685593.350 57.008
153493.370 5687688.570 92.701
160410.000 5687130.000 100.193
163410.334 5692028.730 62.739
168237.289 5694854.520 63.956
167500.000 5701900.000 55.140
172921.704 5708046.460 130.866
169057.173 5714402.550 99.908
166993.318 5721863.390 127.555
159505.707 5726520.410 173.163
423670.521 5017588.540 9.950
423715.286 5023882.700 5.056
423986.448 5030002.400 8.564
424352.259 5035936.770 2.373
425170.339 5041652.570 4.664
425628.476 5047230.520 4.847
426276.959 5052619.950 3.832
421442.390 5055088.270 50.048
421435.085 5060306.890 53.418
416377.828 5063103.300 75.578
416043.862 5068353.930 76.666
